# dataset: GeoCSV 2.0
# delimiter: |
# global_model: Cascadia_ANT+RF_Delph2018
# global_id: Cascadia_ANT+RF_Delph2018
# global_title: 3D vertical shear-wave velocity model of the Cascadian forearc from the joint inversion of ambient noise dispersion and receiver functions
# global_summary: Cascadia_ANT+RF_Delph2018 was created from the joint inversion of ambient noise Rayleigh waves dispersion measurements (8-50 seconds) and adaptive CCP-derived receiver functions (see Delph et al., 2015, 2017 for details of methodology; Delph et al., 2018 for details of this model).
# global_reference: Delph, Levander, and Niu (2018)
# global_reference_pid: doi:10.1029/2018gl079518
# global_data_revision: r0.1
# global_version: v0.0
# global_Conventions: CF-1.0
# global_Metadata_Conventions: Unidata Dataset Discovery v1.0
# global_author_name: Jonathan R. Delph
# global_author_email: jdelph@purdue.edu
# global_author_institution: Purdue University
# global_author_url: https://www.eaps.purdue.edu/delph/
# global_geospatial_lon_min: -124.8
# global_geospatial_lon_max: -120.0
# global_geospatial_lon_units: degrees_east
# global_geospatial_lon_resolution: 0.2
# global_geospatial_lat_min: 40.0
# global_geospatial_lat_max: 49.0
# global_geospatial_lat_units: degrees_north
# global_geospatial_lat_resolution: 1.0
# global_geospatial_vertical_min: -3.0
# global_geospatial_vertical_max: 80.0
# global_geospatial_vertical_units: km
# global_geospatial_vertical_positive: down
# global_repository_name: EMC
# global_repository_institution: EarthScope
# global_repository_pid: doi:10.17611/dp/cascadiaantrfd2018
# global_keywords: seismic,Rayleigh waves dispersion,shear wave,s wave,Cascadian forearc,ambient noise dispersion,receiver functions
# global_acknowledgment: Model was provided by Jonathan R. Delph of Department of Earth, Environmental and Planetary Sciences, Rice University
# global_history: [2024-01-03] Converted to netCDF via CRESCENT data tools.
# global_comments: CRESCENT CVM tools development project.
# global_grid_mapping_name: latitude_longitude
# global_utm_zone: 10
# global_ellipsoid: WGS84
# longitude_column: longitude
# longitude_variable: longitude
# longitude_standard_name: longitude
# longitude_long_name: Longitude; positive east
# longitude_units: degrees_east
# latitude_column: latitude
# latitude_variable: latitude
# latitude_long_name: Latitude; positive north
# latitude_units: degrees_north
# latitude_standard_name: latitude
# depth_column: depth
# depth_variable: depth
# depth_positive: down
# depth_standard_name: depth
# depth_long_name: depth below sea level
# depth_units: km
# easting_column: easting
# easting_variable: easting
# easting_standard_name: easting
# easting_long_name: easting; UTM
# easting_units: m
# northing_column: northing
# northing_variable: northing
# northing_long_name: northing; UTM
# northing_units: m
# northing_standard_name: northing
# vs_column: vs
# vs_variable: vs
# vs_dimensions: 3
# vs_long_name: Shear-wave velocity
# vs_display_name: S Velocity (km/s)
# vs_units: km.s-1
# vs_coordinates: easting northing
# vs_grid_mapping: latitude_longitude
longitude|latitude|depth|easting|northing|vs
-120.2|40.0|-2|739023.9|4431513.0|3.113
-120.2|40.0|-1|739023.9|4431513.0|3.1429
-120.2|40.0|0|739023.9|4431513.0|3.2048
-120.2|40.0|1|739023.9|4431513.0|3.2725
-120.2|40.0|2|739023.9|4431513.0|3.3207
-120.2|40.0|3|739023.9|4431513.0|3.3653
-120.2|40.0|4|739023.9|4431513.0|3.3904
-120.2|40.0|5|739023.9|4431513.0|3.346
-120.2|40.0|6|739023.9|4431513.0|3.3348
-120.2|40.0|7|739023.9|4431513.0|3.4069
-120.2|40.0|8|739023.9|4431513.0|3.4679
-120.2|40.0|9|739023.9|4431513.0|3.4694
-120.2|40.0|10|739023.9|4431513.0|3.4449
-120.2|40.0|11|739023.9|4431513.0|3.4411
-120.2|40.0|12|739023.9|4431513.0|3.4347
-120.2|40.0|13|739023.9|4431513.0|3.4531
-120.2|40.0|14|739023.9|4431513.0|3.4693
-120.2|40.0|15|739023.9|4431513.0|3.4558
-120.2|40.0|16|739023.9|4431513.0|3.4484
-120.2|40.0|17|739023.9|4431513.0|3.44
-120.2|40.0|18|739023.9|4431513.0|3.4166
-120.2|40.0|19|739023.9|4431513.0|3.4038
-120.2|40.0|20|739023.9|4431513.0|3.4102
-120.2|40.0|21|739023.9|4431513.0|3.4179
-120.2|40.0|22|739023.9|4431513.0|3.4235
-120.2|40.0|23|739023.9|4431513.0|3.4315
-120.2|40.0|24|739023.9|4431513.0|3.4447
-120.2|40.0|25|739023.9|4431513.0|3.4658
-120.2|40.0|26|739023.9|4431513.0|3.5001
-120.2|40.0|27|739023.9|4431513.0|3.5519
-120.2|40.0|28|739023.9|4431513.0|3.6229
-120.2|40.0|29|739023.9|4431513.0|3.7096
-120.2|40.0|30|739023.9|4431513.0|3.8062
-120.2|40.0|31|739023.9|4431513.0|3.9073
-120.2|40.0|32|739023.9|4431513.0|4.0039
-120.2|40.0|33|739023.9|4431513.0|4.0895
-120.2|40.0|34|739023.9|4431513.0|4.16
-120.2|40.0|35|739023.9|4431513.0|4.212
-120.2|40.0|36|739023.9|4431513.0|4.2456
-120.2|40.0|37|739023.9|4431513.0|4.2637
-120.2|40.0|38|739023.9|4431513.0|4.2698
-120.2|40.0|39|739023.9|4431513.0|4.2677
-120.2|40.0|40|739023.9|4431513.0|4.2614
-120.2|40.0|41|739023.9|4431513.0|4.253
-120.2|40.0|42|739023.9|4431513.0|4.244
-120.2|40.0|43|739023.9|4431513.0|4.2355
-120.2|40.0|44|739023.9|4431513.0|4.2269
-120.2|40.0|45|739023.9|4431513.0|4.2175
-120.2|40.0|46|739023.9|4431513.0|4.2057
-120.2|40.0|47|739023.9|4431513.0|4.1944
